Country,Abv,Description,Text,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mozambique,MOZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.952929974,6.260409832,5.672160149,6.115330219,6.876329899,6.010829926,5.865039825,5.505559921,5.452189922,6.229990005
Mauritania,MRT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0,2.331020117,2.158210039,2.293540001,0,0,1.944059968,0,0,1.893730044
Mauritius,MUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.551470041,3.332070112,3.418200016,3.61578989,4.916950226,4.886670113,5.013599873,5.02312994,4.834589958,4.719299793
Malawi,MWI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.539799929,4.152619839,0,5.41617012,4.839839935,5.608660221,4.748569965,4.031330109,3.381939888,3.711319923
Namibia,NAM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,8.243300438,7.397809982,7.793399811,7.466370106,7.452889919,9.913700104,10.65202999,9.759980202,8.988050461,9.480409622
Niger,NER,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.721950054,3.077620029,3.18682003,3.689529896,5.103680134,4.485899925,2.970959902,2.577159882,3.44698,3.523169994
Nigeria,NGA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0,0,0,0,0,0,0,0,0,0
Senegal,SEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.217740059,4.903029919,4.776989937,5.686560154,5.720210075,5.45637989,5.113090038,4.624969959,4.8582201,5.287199974
Sierra Leone,SLE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.588639975,2.668900013,2.872040033,2.379810095,2.662919998,3.057290077,3.060230017,4.635769844,6.989630222,7.365429878
Somalia,SOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0,0,0,0,0,0,0,0,0,0
Sub-Saharan Africa (excluding high income),SSA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.545634985,3.777114987,3.520755053,3.689529896,4.126039982,3.735805035,3.561609983,3.789769888,3.641860008,3.534980059
Sub-Saharan Africa,SSF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.545634985,3.777114987,3.520755053,3.689529896,4.126039982,3.735805035,3.561609983,3.789769888,3.641860008,3.534980059
Sao Tome and Principe,STP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,9.651470184,8.89109993,6.339509964,5.939690113,3.749059916,3.864599943,5.173039913,5.036369801,5.235109806,5.921549797
Chad,TCD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.981940031,2.2579,2.206150055,2.850709915,2.599999905,2.400000095,2.299999952,2.454819918,2.25948,2.372459888
Togo,TGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.096350193,4.309299946,4.719200134,4.423649788,4.78455019,5.10860014,3.686490059,3.760529995,4.043940067,4.969379902
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.545634985,3.777114987,3.520755053,3.689529896,4.126039982,3.735805035,3.561609983,3.789769888,3.641860008,3.534980059
Tunisia,TUN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.254809856,7.554369926,6.250360012,6.967450142,6.881869793,6.596000195,7.32434988,0,0,0
Tanzania,TZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.541699886,3.558290005,3.470930099,3.357959986,3.384880066,4.194869995,4.101970196,4.430510044,3.696439981,3.534980059
Uganda,UGA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.734850049,2.308820009,1.805230021,1.879209995,1.922979951,2.331530094,2.147109985,2.263360023,2.130520105,2.649810076
Zambia,ZMB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.700000048,3.799999952,4.199999809,4.300000191,5.199999809,4.624330044,3.747920036,3.729640007,4.739739895,4.46517992
Zimbabwe,ZWE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.544059992,0,6.07020998,5.995979786,6.13835001,5.812789917,5.47262001,5.381060123,3.587280035,0
